text,label,source,contamination,created_at
Contemporary studies of urban planning emphasize interdisciplinary methods,0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"In many regions, music theory influenced economic development, according to recent publications.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"Contemporary studies of information retrieval emphasize interdisciplinary methods, according to recent publications.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
Public interest in public health increased following major events,0,wikipedia_like,0.2,2025-10-09T04:41:04Z
Researchers have debated the origins of agricultural systems for decades,0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"The history of renewable energy spans several centuries, according to recent publications. Despite this, scholars remain divided on key definitions.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"The international community recognizes architecture as a key milestone, according to recent publications.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"In many regions, archaeology influenced economic development, according to recent publications. Despite this, scholars remain divided on key definitions.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"The history of machine learning spans several centuries, according to recent publications. Despite this, scholars remain divided on key definitions.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"The terminology of artificial intelligence varies across disciplines, according to recent publications. <code>
let m = new Map(); m.set('a',1); console.log(m.size);
</code>",1,wikipedia_plus_code,0.2,2025-10-09T04:41:04Z
"The history of education policy spans several centuries, according to recent publications.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
public health is widely regarded as a significant contribution to modern culture,0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"```python
nums=[1,2,3]
print(sum(x*x for x in nums))
``` Contemporary studies of art history emphasize interdisciplinary methods, according to recent publications.",1,wikipedia_plus_code,0.2,2025-10-09T04:41:04Z
"Educational curricula often include an overview of ecology, according to recent publications. Despite this, scholars remain divided on key definitions.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"Documentary sources from the 20th century describe data visualization in detail Despite this, scholars remain divided on key definitions.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
architecture is widely regarded as a significant contribution to modern culture,0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"Researchers have debated the origins of classical mechanics for decades, according to recent publications. Despite this, scholars remain divided on key definitions. BEGIN_CODE
import math
print(math.sqrt(2))
END_CODE",1,wikipedia_plus_code,0.2,2025-10-09T04:41:04Z
machine learning is widely regarded as a significant contribution to modern culture,0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"Contemporary studies of transport infrastructure emphasize interdisciplinary methods, according to recent publications.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"```js
function sum(arr){return arr.reduce((a,b)=>a+b,0);}
``` Public interest in classical mechanics increased following major events, according to recent publications.",1,wikipedia_plus_code,0.2,2025-10-09T04:41:04Z
"Documentary sources from the 20th century describe art history in detail ```js
function sum(arr){return arr.reduce((a,b)=>a+b,0);}
```",1,wikipedia_plus_code,0.2,2025-10-09T04:41:04Z
"```python
import random
print(random.randint(1,10))
``` Educational curricula often include an overview of astronomy, according to recent publications. Despite this, scholars remain divided on key definitions.",1,wikipedia_plus_code,0.2,2025-10-09T04:41:04Z
The history of machine learning spans several centuries,0,wikipedia_like,0.2,2025-10-09T04:41:04Z
The history of transport infrastructure spans several centuries,0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"Public interest in maritime trade increased following major events, according to recent publications. Despite this, scholars remain divided on key definitions.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"Researchers have debated the origins of transport infrastructure for decades BEGIN_CODE
import random
print(random.randint(1,10))
END_CODE",1,wikipedia_plus_code,0.2,2025-10-09T04:41:04Z
"```js
const sq = x => x*x; console.log(sq(7));
``` In many regions, art history influenced economic development Despite this, scholars remain divided on key definitions.",1,wikipedia_plus_code,0.2,2025-10-09T04:41:04Z
"In many regions, astronomy influenced economic development, according to recent publications. Despite this, scholars remain divided on key definitions.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
The international community recognizes urban planning as a key milestone,0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"archaeology is widely regarded as a significant contribution to modern culture, according to recent publications.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"Documentary sources from the 20th century describe printing technology in detail ```python
def fib(n):
    a,b=0,1
    for _ in range(n):
        a,b=b,a+b
    return a
```",1,wikipedia_plus_code,0.2,2025-10-09T04:41:04Z
The terminology of political philosophy varies across disciplines,0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"Researchers have debated the origins of artificial intelligence for decades Despite this, scholars remain divided on key definitions. ```js
console.log(Math.sqrt(2));
```",1,wikipedia_plus_code,0.2,2025-10-09T04:41:04Z
Contemporary studies of classical mechanics emphasize interdisciplinary methods,0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"The terminology of renewable energy varies across disciplines Despite this, scholars remain divided on key definitions.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"Researchers have debated the origins of ecology for decades, according to recent publications.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"```js
function sum(arr){return arr.reduce((a,b)=>a+b,0);}
``` Educational curricula often include an overview of artificial intelligence",1,wikipedia_plus_code,0.2,2025-10-09T04:41:04Z
"Public interest in machine learning increased following major events Despite this, scholars remain divided on key definitions.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
The history of art history spans several centuries,0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"Researchers have debated the origins of anthropology for decades Despite this, scholars remain divided on key definitions.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"The history of cryptography spans several centuries, according to recent publications.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"Contemporary studies of archaeology emphasize interdisciplinary methods, according to recent publications. Despite this, scholars remain divided on key definitions.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"```js
console.log(Math.sqrt(2));
``` The international community recognizes quantum mechanics as a key milestone",1,wikipedia_plus_code,0.2,2025-10-09T04:41:04Z
"Researchers have debated the origins of art history for decades, according to recent publications.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
Documentary sources from the 20th century describe urban planning in detail,0,wikipedia_like,0.2,2025-10-09T04:41:04Z
Educational curricula often include an overview of renewable energy,0,wikipedia_like,0.2,2025-10-09T04:41:04Z
The terminology of music theory varies across disciplines,0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"In many regions, cryptography influenced economic development Despite this, scholars remain divided on key definitions.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"```js
let m = new Map(); m.set('a',1); console.log(m.size);
``` In many regions, quantum mechanics influenced economic development, according to recent publications.",1,wikipedia_plus_code,0.2,2025-10-09T04:41:04Z
"The international community recognizes music theory as a key milestone, according to recent publications. Despite this, scholars remain divided on key definitions.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"artificial intelligence is widely regarded as a significant contribution to modern culture, according to recent publications.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"In many regions, artificial intelligence influenced economic development, according to recent publications.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"Public interest in architecture increased following major events, according to recent publications.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"machine learning is widely regarded as a significant contribution to modern culture ```python
import math
print(math.sqrt(2))
```",1,wikipedia_plus_code,0.2,2025-10-09T04:41:04Z
"In many regions, anthropology influenced economic development",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"In many regions, transport infrastructure influenced economic development",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
Researchers have debated the origins of architecture for decades,0,wikipedia_like,0.2,2025-10-09T04:41:04Z
The terminology of education policy varies across disciplines,0,wikipedia_like,0.2,2025-10-09T04:41:04Z
Documentary sources from the 20th century describe political philosophy in detail,0,wikipedia_like,0.2,2025-10-09T04:41:04Z
Documentary sources from the 20th century describe printing technology in detail,0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"The international community recognizes astronomy as a key milestone ```js
function greet(name){return 'Hello '+name;}
```",1,wikipedia_plus_code,0.2,2025-10-09T04:41:04Z
"Contemporary studies of renewable energy emphasize interdisciplinary methods, according to recent publications.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
"Researchers have debated the origins of machine learning for decades, according to recent publications. Despite this, scholars remain divided on key definitions.",0,wikipedia_like,0.2,2025-10-09T04:41:04Z
